producttype,module,description_general,description_a1,description_a2,description_a3,description_s1,description_s2,description_s3
LINE_100S_typ_3,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LINE_100S_typ_3,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LINE_100S_typ_3,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
CLIP_K3,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
CLIP_K3,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
CLIP_K3,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
CLIP_K3,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
CLIP_K3,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
CLIP_K3,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
CLIP_K3,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
CLIP_K3,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
CLIP_SK,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
CLIP_SK,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
CLIP_SK,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
CLIP_SK,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
CLIP_SK,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
CLIP_SK,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
CLIP_SK,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
CLIP_SK,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
